 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Bottle cleaner with handle    , Price               ,                                                                  ,-0.05,0.029,0.083,-1.74
 Bottle cleaner with handle    , Color               , Beige/Brown                                                      ,0,0,1,0
 Bottle cleaner with handle    , Color               , Black                                                            ,-0.314,0.116,0.007,-2.71
 Bottle cleaner with handle    , Color               , Blue                                                             ,-0.127,0.088,0.151,-1.43
 Bottle cleaner with handle    , Color               , Dark Green                                                       ,-0.092,0.087,0.29,-1.06
 Bottle cleaner with handle    , Color               , Green                                                            ,-0.089,0.08,0.266,-1.11
 Bottle cleaner with handle    , Color               , Orange                                                           ,0,0,1,0
 Bottle cleaner with handle    , Color               , Pink                                                             ,-0.052,0.085,0.545,-0.6
 Bottle cleaner with handle    , Color               , Purple                                                           ,-0.034,0.075,0.653,-0.45
 Bottle cleaner with handle    , Color               , White                                                            ,-0.173,0.091,0.057,-1.9
 Bottle cleaner with handle    , Color               , Yellow                                                           ,0,0,1,0
 Bottle cleaner with handle    , Shape               , Flower                                                           ,0.318,0.116,0.006,2.74
 Bottle cleaner with handle    , Shape               , Leaf                                                             ,0.066,0.095,0.49,0.69
 Bottle cleaner with handle    , Shape               , Oval                                                             ,0,0,1,0
 Bottle cleaner with handle    , Shape               , Rectangle                                                        ,0.113,0.101,0.264,1.12
 Bottle cleaner with handle    , Shape               , Round                                                            ,0.202,0.103,0.051,1.95
 Bottle cleaner with handle    , Shape               , Smiley                                                           ,0.256,0.102,0.012,2.51
 Bottle cleaner with handle    , Shape               , Square                                                           ,0.179,0.106,0.092,1.68
 Bottle cleaner with handle    , Shape               , Tear drop                                                        ,0.316,0.121,0.009,2.61
 Bottle cleaner with handle    , Shape               , Wave                                                             ,0.448,0.138,0.001,3.26
 Disposable Sheet              , Brand               , Byulpyo                                                          ,-0.361,0.127,0.004,-2.85
 Disposable Sheet              , Brand               , Cleanwrap                                                        ,0,0,1,0
 Disposable Sheet              , Brand               , Daiso                                                            ,0,0,1,0
 Disposable Sheet              , Brand               , Frog                                                             ,-0.072,0.094,0.447,-0.76
 Disposable Sheet              , Brand               , No Brand                                                         ,0,0,1,0
 Disposable Sheet              , Brand               , Scotch-Brite by 3M                                               ,0.2,0.095,0.036,2.1
 Disposable Sheet              , Brand               , Scott (Yuhan-Kimberly                                            ,0.063,0.091,0.489,0.69
 Disposable Sheet              , Brand               , Spontex                                                          ,0.041,0.093,0.664,0.43
 Disposable Sheet              , Cleaning strength   , Extra tough/ extra heavy duty                                    ,-0.043,0.074,0.565,-0.58
 Disposable Sheet              , Cleaning strength   , Gentle/ delicate cleaning                                        ,-0.044,0.075,0.553,-0.59
 Disposable Sheet              , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,-0.086,0.075,0.253,-1.14
 Disposable Sheet              , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,0.113,0.086,0.191,1.31
 Disposable Sheet              , Surface types       , Everyday dishware & utensils                                     ,0.11,0.097,0.255,1.14
 Disposable Sheet              , Surface types       , Glass (Cooktop                                                   ,0,0,1,0
 Disposable Sheet              , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",0.123,0.092,0.181,1.34
 Disposable Sheet              , Surface types       ," Plastic (Dishware, Utensils, etc                                 ",0,0,1,0
 Disposable Sheet              , Surface types       ," Porcelain (Dishware, premium crockery, sink, etc                 ",0.097,0.089,0.28,1.08
 Disposable Sheet              , Surface types       , Stainless Steel (Cooktop                                         ,0.268,0.108,0.013,2.49
 Disposable Sheet              , Surface types       , Stainless Steel (Outdoor camping/BBQ                             ,0.044,0.098,0.658,0.44
 Disposable Sheet              , Surface types       , Stainless Steel (Sink /Cookware                                  ,0.065,0.086,0.449,0.76
 Disposable Sheet              , Surface types       , Suitable for use across most surface types                       ,0,0,1,0
 Disposable Sheet              , Stain types         , Effective at removing different stuck on and oily stains         ,0.086,0.08,0.281,1.08
 Disposable Sheet              , Stain types         , Good at removing heavy oil stains                                ,0.193,0.097,0.046,1.99
 Disposable Sheet              , Stain types         , Good at removing light (non-oily                                 ,0.154,0.091,0.091,1.69
 Disposable Sheet              , Stain types         , Good at removing light oil stains                                ,0,0,1,0
 Disposable Sheet              , Stain types         , Good at removing sticky stains                                   ,0,0,1,0
 Disposable Sheet              , Stain types         , Good at removing stubborn burnt stains                           ,0.065,0.076,0.391,0.86
 Disposable Sheet              , Stain types         , Good at removing tea/coffee stains                               ,0,0,1,0
 Disposable Sheet              , Benefit             , Antibacterial/Prevent bacterial growth                           ,-0.037,0.093,0.689,-0.4
 Disposable Sheet              , Benefit             , Antimicrobial/Prevent mold & odor                                ,0.232,0.114,0.042,2.03
 Disposable Sheet              , Benefit             , Durable/long lasting                                             ,0,0,1,0
 Disposable Sheet              , Benefit             , Easy to grip                                                     ,0,0,1,0
 Disposable Sheet              , Benefit             , Easy to reach and clean tight corners and grooves                ,0.137,0.106,0.197,1.29
 Disposable Sheet              , Benefit             , Easy to rinse clean after use (food doesn't get stuck            ,0.125,0.095,0.188,1.32
 Disposable Sheet              , Benefit             , Foam well with a small amount of detergent                       ,-0.171,0.094,0.069,-1.82
 Disposable Sheet              , Benefit             , Stain resistant                                                  ,-0.139,0.093,0.138,-1.48
 Disposable Sheet              , Benefit             , Will not scratch or damage cleaning surfaces                     ,-0.137,0.091,0.131,-1.51
 Disposable Sheet              , Claim               , Convenient as no soap required (infused with  cleaning detergent ,-0.352,0.145,0.015,-2.43
 Disposable Sheet              , Claim               , Create a shiny finish after use                                  ,-0.168,0.117,0.151,-1.44
 Disposable Sheet              , Claim               , Eco-friendly/Good for the environment                            ,-0.189,0.124,0.126,-1.53
 Disposable Sheet              , Claim               , Fun designs/ shapes to elevate your mood                         ,-0.347,0.14,0.013,-2.48
 Disposable Sheet              , Claim               , Guarantee satisfaction after use                                 ,0,0,1,0
 Disposable Sheet              , Claim               , Keeps your family safe                                           ,-0.216,0.123,0.08,-1.75
 Disposable Sheet              , Claim               ," Make cleaning a breeze, saves time to do the things you love     ",-0.377,0.14,0.007,-2.7
 Disposable Sheet              , Claim               , Scented (emits pleasant scent while cleaning                     ,-0.198,0.13,0.127,-1.53
 Disposable Sheet              , Claim               , Transform cleaning into a fun experience with foamy bubble       ,-0.127,0.12,0.288,-1.06
 Disposable Sheet              , Material            , 100% Recycled PET plastic                                        ,-0.177,0.104,0.09,-1.69
 Disposable Sheet              , Material            , Flexible foam (texture changes with water temperature            ,0.104,0.107,0.332,0.97
 Disposable Sheet              , Material            ," Man-made fibre (e.g., polyester                                  ",-0.076,0.109,0.487,-0.7
 Disposable Sheet              , Material            , Melamine foam (magic eraser                                      ,-0.096,0.095,0.314,-1.01
 Disposable Sheet              , Material            , Natural cellulose sponge                                         ,0.113,0.111,0.309,1.02
 Disposable Sheet              , Material            , Natural coconut based fibre                                      ,0,0,1,0
 Disposable Sheet              , Material            , Natural corn based fibre                                         ,0.166,0.107,0.121,1.55
 Disposable Sheet              , Material            , Stay Fresh foam (foam that resist stains and odors               ,0.114,0.1,0.254,1.14
 Disposable Sheet              , Price               ,                                                                  ,-0.101,0.039,0.009,-2.6
 Disposable Sheet              , Color               , Beige/Brown                                                      ,-0.094,0.106,0.378,-0.88
 Disposable Sheet              , Color               , Black                                                            ,-0.13,0.111,0.24,-1.18
 Disposable Sheet              , Color               , Blue                                                             ,-0.144,0.111,0.198,-1.29
 Disposable Sheet              , Color               , Dark Green                                                       ,0,0,1,0
 Disposable Sheet              , Color               , Green                                                            ,0,0,1,0
 Disposable Sheet              , Color               , Orange                                                           ,-0.183,0.112,0.103,-1.63
 Disposable Sheet              , Color               , Pink                                                             ,-0.101,0.106,0.341,-0.95
 Disposable Sheet              , Color               , Purple                                                           ,-0.138,0.106,0.191,-1.31
 Disposable Sheet              , Color               , White                                                            ,-0.105,0.104,0.314,-1.01
 Disposable Sheet              , Color               , Yellow                                                           ,0.066,0.101,0.516,0.65
 Disposable Sheet              , Shape               , Flower                                                           ,0,0,1,0
 Disposable Sheet              , Shape               , Leaf                                                             ,0.261,0.114,0.023,2.28
 Disposable Sheet              , Shape               , Oval                                                             ,-0.146,0.103,0.157,-1.41
 Disposable Sheet              , Shape               , Rectangle                                                        ,0.081,0.089,0.36,0.92
 Disposable Sheet              , Shape               , Round                                                            ,0.098,0.097,0.316,1
 Disposable Sheet              , Shape               , Smiley                                                           ,0,0,1,0
 Disposable Sheet              , Shape               , Square                                                           ,0,0,1,0
 Disposable Sheet              , Shape               , Tear drop                                                        ,0.134,0.099,0.177,1.35
 Disposable Sheet              , Shape               , Wave                                                             ,0.084,0.092,0.361,0.91
 Handled Dishwand              , Brand               , Byulpyo                                                          ,-0.24,0.09,0.007,-2.67
 Handled Dishwand              , Brand               , Cleanwrap                                                        ,0,0,1,0
 Handled Dishwand              , Brand               , Daiso                                                            ,-0.113,0.075,0.133,-1.5
 Handled Dishwand              , Brand               , Frog                                                             ,-0.162,0.08,0.044,-2.02
 Handled Dishwand              , Brand               , No Brand                                                         ,-0.1,0.076,0.19,-1.31
 Handled Dishwand              , Brand               , Scotch-Brite by 3M                                               ,-0.003,0.081,0.97,-0.04
 Handled Dishwand              , Brand               , Scott (Yuhan-Kimberly                                            ,0,0,1,0
 Handled Dishwand              , Brand               , Spontex                                                          ,-0.134,0.078,0.085,-1.72
 Handled Dishwand              , Cleaning strength   , Extra tough/ extra heavy duty                                    ,-0.054,0.051,0.291,-1.06
 Handled Dishwand              , Cleaning strength   , Gentle/ delicate cleaning                                        ,0,0,1,0
